chunk_index,text,embedding_id,filename,file_type
0,"id: 1, Brand: tp-link, Title: Archer BE550 BE9300 Tri-Band Wi-Fi 7 Router, Price: MRP.  30,000. 00৳, SKU: Archer BE550, Categories: Router, Wi-Fi & Networking, Tags: Archer AX73 id: 2, Brand: tp-link, Title: Deco X50-PoE AX3000 Whole Home Mesh WiFi 6 System with PoE, Price: TBA, SKU: Deco X50, Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: None id: 3, Brand: tp-link, Title: Deco X55 AX3000 Whole Home Mesh WiFi 6 System, Price: TBA, SKU: Deco X55, Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: None id: 4, Brand: tp-link, Title: EAP225 AC1350 Wireless MU-MIMO Gigabit Ceiling Mount Access Point, Price: TBA, SKU: EAP225 -indoor, Categories: Omada Controller, SMB Accessories, TP-Link, Wi-Fi & Networking, Tags: None id: 5, Brand: tp-link, Title: EAP225-Outdoor AC1200 Wireless MU-MIMO Gigabit Indoor/Outdoor Access Point, Price: TBA, SKU: EAP225-Outdoor, Categories: Omada Controller, SMB Accessories, TP-Link, Wi-Fi & Networking, Tags: None id: 6, Brand: tp-link, Title: EAP235-WALL AC1350 Ceiling Mount Dual-Band Wi-Fi Access Poin, Price: MRP.  8,900. 00৳, SKU: EAP235-WALL, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: EAP, TP-Link id: 7, Brand: tp-link, Title: EAP245 AC1750 Ceiling Mount Dual-Band Wi-Fi Access Point, Price: MRP.  9,800. 00৳, SKU: EAP245, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: None id: 8, Brand: tp-link, Title: EAP265 HD AC1750 Ceiling Mount Dual-Band Wi-Fi Access Point, Price: MRP.  12,000. 00৳, SKU: EAP265 HD, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: None id: 9, Brand: tp-link, Title: EAP610-Outdoor AX1800 Indoor/Outdoor Dual-Band Wi-Fi 6 Access Point, Price: MRP.  15,800. 00৳, SKU: EAP610-Outdoor, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: None id: 10, Brand: tp-link, Title: EAP615 AX1800 Wall Plate WiFi 6 Access Point, Price: TBA, SKU: EAP615-Wall, Categories: Omada Controller, SMB Accessories, TP-Link, Wi-Fi & Networking, Tags: None id: 11, Brand: tp-link, Title: EAP620 HD AX1800 Ceiling Mount Dual-Band Wi-Fi 6 Access Point, Price: MRP. ",0,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
1," 15,500. 00৳, SKU: EAP620 HD, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: None id: 12, Brand: tp-link, Title: EAP660 HD AX3600 Ceiling Mount Dual-Band Wi-Fi 6 Access Point, Price: MRP.  15,900. 00৳, SKU: EAP660 HD, Categories: Omada EAP Series, SMB Accessories, TP-Link, Tags: None id: 13, Brand: tp-link, Title: OC200 Omada Hardware Controller, Price: MRP.  12,800. 00৳, SKU: OC200, Categories: Omada Controller, SMB Accessories, TP-Link, Tags: None id: 14, Brand: tp-link, Title: OC300 Omada Hardware Controller, Price: MRP.  19,800. 00৳, SKU: OC300, Categories: Omada Controller, SMB Accessories, TP-Link, Tags: None id: 15, Brand: tp-link, Title: Tapo L900-10 Smart Wi-Fi Light Strip, Price: TBA, SKU: Tapo L900-10, Categories: Intelligent Solution, Smart Home Solution, Smart Lighting, TP-Link, Tags: None id: 16, Brand: tp-link, Title: Tapo L900-5 Smart Wi-Fi Light Strip, Price: TBA, SKU: Tapo L900-5, Categories: Intelligent Solution, Smart Home Solution, Smart Lighting, TP-Link, Tags: None id: 17, Brand: tp-link, Title: Tapo L920-10 Smart Wi-Fi Light Strip, Multicolor, Price: TBA, SKU: Tapo L930-5, Categories: Intelligent Solution, Smart Home Solution, Smart Lighting, TP-Link, Tags: None id: 18, Brand: tp-link, Title: Tapo L920-5 Smart Wi-Fi Light Strip, Multicolor, Price: TBA, SKU: Tapo L920-5, Categories: Intelligent Solution, Smart Home Solution, Smart Lighting, TP-Link, Tags: None id: 19, Brand: tp-link, Title: Tapo L930-10 Smart Wi-Fi Light Strip, Multicolor, Price: TBA, SKU: Tapo L930-10, Categories: Intelligent Solution, Smart Home Solution, Smart Lighting, TP-Link, Tags: None id: 20, Brand: tp-link, Title: Tapo P110 Mini Smart Wi-Fi Socket, Energy Monitoring, Price: TBA, SKU: Tapo P110, Categories: Intelligent Solution, Smart Home Solution, Smart Switch, TP-Link, Wi-Fi & Networking, Tags: None id: 21, Brand: tp-link, Title: Tapo RV10 Robot Vacuum & Mop, Price: TBA, SKU: Tapo RV10, Categories: Intelligent Solution, Smart Robot Vacuums, TP-Link, Tags: None id: 22, Brand: tp-link, Title: TP-Link  Deco X60 AX3000 Whole Home Mesh Wi-Fi 6 System (2 Pack), Price: MRP. ",1,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
2," 28,900. 00৳, SKU: Deco-X60 (2-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: Deco-X60 (2-pack) id: 23, Brand: tp-link, Title: TP-Link Archer AX10 AX1500 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  9,790. 00৳, SKU: Archer AX20-1, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX10 id: 24, Brand: tp-link, Title: TP-Link Archer AX12 AX1500 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  5,190. 00৳, SKU: Archer AX12, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX12 id: 25, Brand: tp-link, Title: TP-Link Archer AX15 AX1500 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  4,990. 00৳, SKU: Archer AX15, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 26, Brand: tp-link, Title: TP-Link Archer AX20 AX1800 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  9,990. 00৳, SKU: Archer-AX20, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 27, Brand: tp-link, Title: TP-Link Archer AX23 AX1800 Dual-Band Gigabit Wi-Fi 6 Router, Price: TBA, SKU: Archer AX23, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX23 id: 28, Brand: tp-link, Title: TP-Link Archer AX50 AX3000 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  13,900. 00৳, SKU: Archer-AX50, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 29, Brand: tp-link, Title: TP-Link Archer AX53 AX3000 Dual-Band Gigabit Wi-Fi 6 Router, Price: TBA, SKU: Archer AX53, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX53 id: 30, Brand: tp-link, Title: TP-Link Archer AX55 AX3000 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP.  14,900. 00৳, SKU: Archer AX55, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX55 id: 31, Brand: tp-link, Title: TP-Link Archer AX72 AX5400 Dual-Band Gigabit Wi-Fi 6 Router, Price: TBA, SKU: Archer AX72, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX72 id: 32, Brand: tp-link, Title: TP-Link Archer AX73 AX5400 Dual-Band Gigabit Wi-Fi 6 Router, Price: MRP. ",2,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
3," 22,900. 00৳, SKU: Archer AX73, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX73 id: 33, Brand: tp-link, Title: TP-Link Archer AX90 AX6600 Tri-Band Gigabit Wi-Fi 6 Router, Price: MRP.  29,490. 00৳, SKU: Archer AX90, Categories: AX Wi-Fi 6 Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer AX90 id: 34, Brand: tp-link, Title: TP-Link Archer C20 AC750 Dual-Band Wi-Fi Router, Price: MRP.  2,690. 00৳, SKU: Archer-C20, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: None id: 35, Brand: tp-link, Title: TP-Link Archer C50 AC1200 Wireless Dual Band Router, Price: MRP.  2,590. 00৳, SKU: Archer-C50, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: None id: 36, Brand: tp-link, Title: TP-Link Archer C54 AC1200 Dual-Band Wi-Fi Router, Price: MRP.  2,890. 00৳, SKU: Archer-C54, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: None id: 37, Brand: tp-link, Title: TP-Link Archer C5400X AC5400 Tri-Band Gaming Gigabit Router, Price: MRP.  29,900. 00৳, SKU: Archer C5400X, Categories: Gaming Router, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 38, Brand: tp-link, Title: TP-Link Archer C6 AC1200 Dual-Band Gigabit Wi-Fi Router, Price: MRP.  4,490. 00৳, SKU: Archer C6, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: Archer C6 id: 39, Brand: tp-link, Title: TP-Link Archer C60 AC1350 Dual-Band Wi-Fi Router, Price: MRP.  3,590. 00৳, SKU: Archer-C60, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: None id: 40, Brand: tp-link, Title: TP-Link Archer C64 AC1200 Dual-Band Gigabit Wi-Fi Router, Price: MRP.  3,890. 00৳, SKU: Archer C64, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: Archer C64 id: 41, Brand: tp-link, Title: TP-Link Archer C80 AC1900 Dual-Band Gigabit Wi-Fi Router, Price: MRP.  4,950. 00৳, SKU: Archer-C80, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: Archer C80 id: 42, Brand: tp-link, Title: TP-Link Archer C86 AC1900 Dual-Band Gigabit Wi-Fi Router, Price: MRP. ",3,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
4," 4,850. 00৳, SKU: Archer C86, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: Archer C86 id: 43, Brand: tp-link, Title: TP-Link Archer GX90 AX6600 Tri-Band Wi-Fi 6 Gaming Gigabit Router, Price: MRP.  29,900. 00৳, SKU: Archer GX90, Categories: Gaming Router, Router, TP-Link, Wi-Fi & Networking, Tags: Archer GX90 id: 44, Brand: tp-link, Title: TP-Link Archer GXE75 AXE5400 Tri-Band Wi-Fi 6E Gaming Router, Price: MRP.  22,900. 00৳, SKU: Archer GXE75, Categories: AX Wi-Fi 6 Router, Gaming Router, Router, TP-Link, TP-Link, Wi-Fi & Networking, Tags: None id: 45, Brand: tp-link, Title: TP-Link Archer MR200 AC750 Wireless Dual Band 4G LTE Router, Price: MRP.  9,190. 00৳, SKU: Archer MR200, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: Archer MR200 id: 46, Brand: tp-link, Title: TP-Link Archer MR400 AC1200 Wireless Dual Band 4G LTE Router, Price: MRP.  9,990. 00৳, SKU: Archer MR400, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: Archer MR400 id: 47, Brand: tp-link, Title: TP-Link Archer T2E AC600 Wireless Dual Band PCI Express Adapter, Price: MRP.  1,850. 00৳, SKU: Archer T2E, Categories: Adapter, Bluetooth USB Adapter, PCI Express Network Adapter, SMART Accessories, TP-Link, Wi-Fi & Networking, Wireless USB Adapter, Tags: None id: 48, Brand: tp-link, Title: TP-Link Archer T4E AC1200 Wireless Wi-Fi Bluetooth PCIe Adapter, Price: MRP.  2,450. 00৳, SKU: Archer T4E, Categories: Adapter, Bluetooth USB Adapter, SMART Accessories, TP-Link, Wi-Fi & Networking, Wireless USB Adapter, Tags: None id: 49, Brand: tp-link, Title: TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (1-Pack), Price: MRP.  4,390. 00৳, SKU: Deco E4 (1-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco E4 (1-Pack) id: 50, Brand: tp-link, Title: TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (2-Pack), Price: MRP.  12,890. 00৳, SKU: Deco E4 (3-Pack)-1, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco E4 (3-Pack) id: 51, Brand: tp-link, Title: TP-Link Deco E4 AC1200 Whole Home Mesh Wi-Fi System (3-Pack), Price: MRP. ",4,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
5," 12,890. 00৳, SKU: Deco-E4-(3-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco E4 (3-Pack) id: 52, Brand: tp-link, Title: TP-Link Deco M4 AC1200 Whole Home Mesh Gigabit Wi-Fi System (1-pack), Price: MRP.  5,900. 00৳, SKU: Deco-M4-(1-pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 53, Brand: tp-link, Title: TP-Link Deco M4 AC1200 Whole Home Mesh Gigabit Wi-Fi System (3-pack), Price: MRP.  17,900. 00৳, SKU: Deco-M4-(3-pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 54, Brand: tp-link, Title: TP-Link Deco M4 TP-Link Deco M4 AC1200 Whole Home Mesh Gigabit Wi-Fi System (2-pack), Price: MRP.  11,900. 00৳, SKU: Deco Deco M4 (2-pack)M4 (3-pack)-1, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco M4 (2-pack) id: 55, Brand: tp-link, Title: TP-Link Deco M5 AC1300 Whole Home Mesh Gigabit Wi-Fi System (1-Pack), Price: MRP.  7,490. 00৳, SKU: Deco-M5-(2-Pack)-1, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 56, Brand: tp-link, Title: TP-Link Deco M5 AC1300 Whole Home Mesh Gigabit Wi-Fi System (2-Pack), Price: MRP.  14,900. 00৳, SKU: Deco M5 (2-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco M5 (2-Pack) id: 57, Brand: tp-link, Title: TP-Link Deco M5 AC1300 Whole Home Mesh Gigabit Wi-Fi System (3-Pack), Price: MRP.  21,900. 00৳, SKU: Deco-M5-(3-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 58, Brand: tp-link, Title: TP-Link Deco M9 Plus AC2200 Smart Home Mesh Gigabit Wi-Fi System (2-Pack), Price: MRP.  24,900. 00৳, SKU: Deco-M9 Plus-(2-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 59, Brand: tp-link, Title: TP-Link Deco M9 Plus AC2200 Smart Home Mesh Gigabit Wi-Fi System (3-Pack), Price: MRP.  36,900. 00৳, SKU: Deco M9 Plus (3-Pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: Deco M9 Plus (3-Pack) id: 60, Brand: tp-link, Title: TP-Link Deco S7 AC1900 Whole Home Mesh Wi-Fi System (1 Pack), Price: MRP. ",5,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
6," 4,690. 00৳, SKU: Deco-S7-(1-pack), Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Mesh System, Tags: None id: 61, Brand: tp-link, Title: TP-Link Deco X10 AX1500 Whole Home Mesh Wi-Fi 6 System (2-pack), Price: MRP.  13,000. 00৳, SKU: Deco-X10 (2-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 62, Brand: tp-link, Title: TP-Link Deco X10 AX1500 Whole Home Mesh Wi-Fi 6 System (3-pack), Price: MRP.  19,000. 00৳, SKU: Deco-X10 (3-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 63, Brand: tp-link, Title: TP-Link Deco X10 AX1800 Whole Home Mesh Wi-Fi 6 System (1-pack), Price: MRP.  6,500. 00৳, SKU: Deco-X10 (1-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 64, Brand: tp-link, Title: TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi 6 System (2-pack), Price: MRP.  31,900. 00৳, SKU: Deco-X20 (3-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: Deco-X20 (3-pack) id: 65, Brand: tp-link, Title: TP-Link Deco X20 AX1800 Whole Home Mesh Wi-Fi 6 System 3-pack, Price: MRP.  21,500. 00৳, SKU: Deco-X20 2-pack, Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: None id: 66, Brand: tp-link, Title: TP-Link Deco X50 AX3000 Whole Home Mesh WiFi, Price: MRP.  6,690. 00৳, SKU: Deco X50, Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 67, Brand: tp-link, Title: TP-Link Deco X50 AX3000 Whole Home Mesh WiFi (2 Pack), Price: MRP.  14,490. 00৳, SKU: Deco X50 (2 Pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 68, Brand: tp-link, Title: TP-Link Deco X50 AX3000 Whole Home Mesh WiFi (3 Pack), Price: MRP.  20,990. 00৳, SKU: Deco X50 (3 Pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-Link, Wi-Fi & Networking, Tags: None id: 69, Brand: tp-link, Title: TP-Link Deco X60 AX3000 Whole Home Mesh Wi-Fi 6 System (3 Pack), Price: MRP. ",6,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
7," 41,900. 00৳, SKU: Deco-X60 (3-pack), Categories: AX Wi-Fi 6 Mesh System, Router, TP-link, Wi-Fi & Networking, Tags: Deco-X60 (3-pack) id: 70, Brand: tp-link, Title: TP-Link EC220-G5 AC1200 Wireless Dual Band Gigabit Router, Price: MRP.  3,190. 00৳, SKU: EC220-G5, Categories: Router, TP-Link, Wi-Fi & Networking, Wireless AC Dual Band Router, Tags: None id: 71, Brand: tp-link, Title: TP-Link ER605 Gigabit Multi-WAN VPN Router, Price: MRP.  6,800. 00৳, SKU: ER605, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: ER605 id: 72, Brand: tp-link, Title: TP-Link ER7206 Gigabit Multi-WAN VPN Router, Price: MRP.  18,500. 00৳, SKU: ER7206, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: ER7206 id: 73, Brand: tp-link, Title: TP-LINK HA100 Bluetooth Music Receiver, Price: MRP.  2,290. 00৳, SKU: HA100, Categories: Bluetooth Music Receiver, Peripherals, TP-Link, Tags: None id: 74, Brand: tp-link, Title: TP-Link M7200 150Mbps 4G LTE Mobile Wi-FI, Price: MRP.  5,920. 00৳, SKU: M7200, Categories: 4G LTE Router, Mobile Wi-Fi, Router, Wi-Fi & Networking, Tags: M7200 id: 75, Brand: tp-link, Title: TP-LINK RE200 AC750 Wireless Dual Band Range Extender, Price: MRP.  2,490. 00৳, SKU: RE200, Categories: Range Extender, TP-Link, Wall Plugged Range Extender, Tags: None id: 76, Brand: tp-link, Title: TP-Link RE305 AC1200 Wireless Dual Band Range Extender, Price: MRP.  3,490. 00৳, SKU: RE305, Categories: Range Extender, TP-Link, Wall Plugged Range Extender, Tags: None id: 77, Brand: tp-link, Title: TP-LINK T1500G-10MPS  10-Port Gigabit Smart Switch with 8-Port PoE+, Price: MRP.  11,900. 00৳, SKU: T1500G-10MPS, Categories: Smart Switch, Switch, TP-Link, Tags: None id: 78, Brand: tp-link, Title: TP-LINK T1600G-18TS (TL-SG2216) 16-Port Gigabit Smart Switch with 2 SFP Slot, Price: MRP.  10,490. 00৳, SKU: T1600G-18TS (TL-SG2216), Categories: Smart Switch, Switch, TP-Link, Tags: None id: 79, Brand: tp-link, Title: TP-LINK T1600G-28TS (TL-SG2424)  24-Port Gigabit Smart Switch with 4 SFP Slots, Price: MRP.  14,900. 00৳, SKU: T1600G-28TS (TL-SG2424), Categories: Smart Switch, Switch, TP-Link, Tags: None id: 80, Brand: tp-link, Title: TP-LINK T2600G-18TS (TL-SG3216)  16-Port Gigabit L2 Managed Switch with 2 SFP Slots, Price: MRP. ",7,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
8," 15,900. 00৳, SKU: T2600G-18TS (TL-SG3216), Categories: Managed Switch, Switch, TP-Link, Tags: None id: 81, Brand: tp-link, Title: TP-LINK T2600G-28SQ 28-Port Gigabit SFP L2 Managed Switch with 4 10G SFP+ Slots, Price: MRP.  41,800. 00৳, SKU: T2600G-28SQ, Categories: Managed Switch, Switch, TP-Link, Tags: None id: 82, Brand: tp-link, Title: TP-LINK T2600G-28TS (TL-SG3424) 24-Port Gigabit L2 Managed Switch with 4 SFP Slot, Price: MRP.  18,900. 00৳, SKU: T2600G-28TS-(TL-SG3424), Categories: Managed Switch, Switch, TP-Link, Tags: None id: 83, Brand: tp-link, Title: TP-Link TD-W8961N 300Mbps Wi-Fi N ADSL2+ Modem Router, Price: MRP.  2,790. 00৳, SKU: TD-W8961N, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: TD-W8961N id: 84, Brand: tp-link, Title: TP-Link TL-ER6120 Gigabit Multi-WAN VPN Router, Price: MRP.  19,500. 00৳, SKU: TL-ER6120, Categories: Router, TP-Link, VPN Router, Wi-Fi & Networking, Tags: TL-ER6120 id: 85, Brand: tp-link, Title: TP-Link TL-MR100 300Mbps Wireless N 4G LTE Router, Price: MRP.  5,990. 00৳, SKU: TL-MR100, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: TL-MR100 id: 86, Brand: tp-link, Title: TP-Link TL-MR105 300Mbps Wireless N 4G LTE Router, Price: MRP.  4,990. 00৳, SKU: TL-MR105, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, TP-Link, Wi-Fi & Networking, Tags: mr105, sim router, tplink id: 87, Brand: tp-link, Title: TP-Link TL-MR150 300Mbps Wireless N 4G LTE Router, Price: MRP.  7,190. 00৳, SKU: TL-MR150, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: TL-MR150 id: 88, Brand: tp-link, Title: TP-Link TL-MR3420 300Mbps 3G/4G Wireless N Router, Price: MRP.  2,690. 00৳, SKU: TL-MR3420, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: TL-MR3420 id: 89, Brand: tp-link, Title: TP-Link TL-MR6400 300Mbps Wireless N 4G LTE Router, Price: MRP.  7,990. 00৳, SKU: TL-MR6400, Categories: 3G/4G Wireless Router, 4G LTE Router, Router, Wi-Fi & Networking, Tags: None id: 90, Brand: tp-link, Title: TP-Link TL-R470T+ Load Balance Broadband Router, Price: MRP. ",8,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
9," 5,200. 00৳, SKU: TL-R470T+, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: TL-R470T+ id: 91, Brand: tp-link, Title: TP-Link TL-R480T+ Load Balance Broadband Router, Price: MRP.  5,900. 00৳, SKU: TL-R480T+, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: TL-R480T+ id: 92, Brand: tp-link, Title: TP-Link TL-R600VPN Gigabit Broadband VPN Router, Price: MRP.  5,800. 00৳, SKU: TL-R600VPN, Categories: TP-Link, VPN Router, Wi-Fi & Networking, Tags: None id: 93, Brand: tp-link, Title: TP-LINK TL-SF1005D 5-Port 10/100 Mbps Desktop Switch, Price: MRP.  849. 00৳, SKU: TL-SF1005D, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 94, Brand: tp-link, Title: TP-LINK TL-SF1005LP 5-Port 10/100 Mbps Desktop Switch with 4-Port PoE, Price: MRP.  3,890. 00৳, SKU: TL-SF1005LP, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 95, Brand: tp-link, Title: TP-LINK TL-SF1005P 5-Port 10/100 Mbps Desktop Switch with 4-Port PoE+, Price: MRP.  3,890. 00৳, SKU: TL-SF1005P, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 96, Brand: tp-link, Title: TP-LINK TL-SF1006P, Price: MRP.  3,990. 00৳, SKU: TL-SF1006P, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 97, Brand: tp-link, Title: TP-LINK TL-SF1008D 8-Port 10/100 Mbps Desktop Switch, Price: MRP.  990. 00৳, SKU: TL-SF1008D, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 98, Brand: tp-link, Title: TP-LINK TL-SF1008P 8-Port 10/100 Mbps Desktop Switch with 4-Port PoE+, Price: MRP.  4,390. 00৳, SKU: TL-SF1008P, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 99, Brand: tp-link, Title: TP-LINK TL-SF1009P 9-Port 10/100 Mbps Desktop Switch with 8-Port PoE+, Price: MRP.  5,290. 00৳, SKU: TL-SF1009P, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 100, Brand: tp-link, Title: TP-LINK TL-SF1016D 16-Port 10/100 Mbps Desktop Switch, Price: MRP.  2,690. 00৳, SKU: TL-SF1016D, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 101, Brand: tp-link, Title: TP-LINK TL-SF1016DS 16-Port 10/100 Mbps Switch, Price: MRP.  4,290. 00৳, SKU: TL-SF1016DS, Categories: Switch, TP-Link, Unmanaged Switch, Tags: None id: 102, Brand: tp-link, Title: TP-LINK TL-SF1024D 24-Port 10/100 Mbps Switch, Price: MRP. ",9,C:\Users\ASUS\AppData\Local\Temp\tmp86lc_fnj,db
